id,Season,Year,total_seas_prcp,name
ASN00066062,Winter,1921,2255,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1921,1788,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1921,1974,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1922,2354,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1922,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1922,1270,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1922,1104,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1922,1690,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1922,1150,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1922,667,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1922,1156,PERTH REGIONAL OFFICE
ASN00014163,Spring,1922,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1922,861,ADELAIDE WEST TERRACE
ASN00040214,Spring,1922,2292,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1922,1978,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1922,1711,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1922,1061,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1922,338,PERTH REGIONAL OFFICE
ASN00014163,Summer,1922,NA,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1922,1332,ADELAIDE WEST TERRACE
ASN00040214,Summer,1922,4010,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1922,2804,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1922,1737,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1922,2509,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1922,4246,PERTH REGIONAL OFFICE
ASN00014163,Winter,1922,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1922,2432,ADELAIDE WEST TERRACE
ASN00040214,Winter,1922,1701,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1922,3530,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1922,1772,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1922,2429,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1923,2775,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1923,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1923,1204,ADELAIDE WEST TERRACE
